package-id,version,title,date,status,country,language,altloc,canonical,category,changes,corrections,current,desc,descCurrent,descmd,fhir-version,fhirVersion,fhirversion,history_template_repo,intro,introduction,milestoneName,name,org,path,sequence,sequence-note,sequenceNote,sub-packages
hl7.fhir.us.core,current,US Core,,ci-build,us,en,,http://hl7.org/fhir/us/core,National Base,,,,Continuous Integration Build (latest in version control) - Content subject to frequent changes.,,,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,,,,http://build.fhir.org/ig/HL7/US-Core,,,,
hl7.fhir.us.core,6.1.0,US Core,2023-06-30,update,us,en,,http://hl7.org/fhir/us/core,National Base,,,True,This STU Update to version 6.0.0 of US Core has been reviewed by the public per the HL7 STU update process and voted on by the members of the HL7 International Cross-Group Projects work group. - see the Change Notes (http://hl7.org/fhir/us/core/STU6/changes.html).,,This STU Update to version 6.0.0 of US Core has been reviewed by the public per the HL7 STU update process and voted on by the members of the HL7 International Cross-Group Projects work group. - see the [Change Notes](http://hl7.org/fhir/us/core/STU6/changes.html).,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,,STU6.1,,http://hl7.org/fhir/us/core/STU6.1,STU6,,,
hl7.fhir.us.core,6.1.0-snapshot1,US Core,2023-05-27,update,us,en,,http://hl7.org/fhir/us/core,National Base,,,,This publication snapshot of the STU Update to version 6.0.0 of US Core is published for review by the public per the HL7 STU update process. The resolution of these change has been agreed to and voted on by the members of the HL7 International Cross-Group Projects work group. - see the Change Notes (http://hl7.org/fhir/us/core/STU6/changes.html).,,This publication snapshot of the STU Update to version 6.0.0 of US Core is published for review by the public per the HL7 STU update process. The resolution of these change has been agreed to and voted on by the members of the HL7 International Cross-Group Projects work group. - see the [Change Notes](http://hl7.org/fhir/us/core/STU6/changes.html).,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,,,,http://hl7.org/fhir/us/core/STU6.1-snapshot1,STU6,,,
hl7.fhir.us.core,6.0.0,US Core,2023-05-03,trial-use,us,en,,http://hl7.org/fhir/us/core,National Base,,,,STU6 Update of the US Core Implementation Guide: this version is the result of resolution of the community comments for the January 2023 Ballot Version. - see the Change Notes (http://hl7.org/fhir/us/core/STU6/changes.html).,,STU6 Update of the US Core Implementation Guide: this version is the result of resolution of the community comments for the January 2023 Ballot Version. - see the [Change Notes](http://hl7.org/fhir/us/core/STU6/changes.html).,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,,STU6,,http://hl7.org/fhir/us/core/STU6,STU6,,,
hl7.fhir.us.core,6.0.0-ballot,US Core,2022-12-05,ballot,us,en,,http://hl7.org/fhir/us/core,National Base,,,,"The January 2022 Ballot Version: This version adds United States Core Data for Interoperability (USCDI) V3 updates that the Office of the National Coordinator (ONC) published in July 2022. It addresses over 70 trackers submitted by implementers since the publication of US Core ver 5.0.1. For a detailed list of the changes for this version, see the [Change Notes](http://hl7.org/fhir/us/core/2023Jan/changes.html).",,,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,R6,,,http://hl7.org/fhir/us/core/2023Jan,STU6,,,
hl7.fhir.us.core,5.0.1,US Core,2022-06-22,trial-use,us,en,,http://hl7.org/fhir/us/core,National Base,changes.html,,,"STU5 Errata Update of the US Core Implementation Guide: 1) Correction of typos in Condition profile urls, 2)Update VSAC version package dependency and 3)Correction to Provenance profile.",,,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,R5,STU5,,http://hl7.org/fhir/us/core/STU5.0.1,STU5,,,
hl7.fhir.us.core,5.0.0,US Core,2022-05-13,trial-use,us,en,,http://hl7.org/fhir/us/core,National Base,changes.html,,,STU5 Update of the US Core Implementation Guide: this version is the result of resolution of the community comments for the January 2022 Ballot Version.,,,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,,,,http://hl7.org/fhir/us/core/STU5,STU5,,,
hl7.fhir.us.core,4.1.0,US Core,2021-11-30,ballot,us,en,,http://hl7.org/fhir/us/core,National Base,,,,The January 2022 Ballot Version:  this version adds United States Core Data for Interoperability (USCDI) V2 updates that the Office of the National Coordinator (ONC) published in July of 2021. Continues efforts to link terminology directly to Value Set Authority Center (VSAC) where applicable. Addresses over 30 trackers submitted by implementers since the previous STU2 ballot for US Core ver 4.0.0.  Details of the changes in this version can be seen at https://github.com/HL7/US-Core/blob/master/input/pagecontent/changes.md,,,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,,,,http://hl7.org/fhir/us/core/2022Jan,STU5,,,
hl7.fhir.us.core,4.0.0,US Core,2021-06-28,trial-use,us,en,,http://hl7.org/fhir/us/core,National Base,,,,STU4 Update of the US Core Implementation Guide: this version is the result of resolution of the community comments for the January 2021 Ballot Version.  Details of the changes in this version can be seen at https://github.com/HL7/US-Core/blob/master/input/pagecontent/changes.md,,,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,R4,STU4,,http://hl7.org/fhir/us/core/STU4,STU4,,,
hl7.fhir.us.core,3.2.0,US Core,2021-1-30,ballot,us,en,,http://hl7.org/fhir/us/core,National Base,,,,"The January 2021 Ballot Version: this version 1) adds new Conformance Expectations, 2)  add a set of US Core Vital Signs, 3) links terminology directly to the Value Set Authority Center (VSAC), 4) migrates to the standard set of HL7 FHIR IG templates for publishing and addresses over 95 outstanding trackers from the FHIR community.  Details of the changes in this version can be seen at https://github.com/HL7/US-Core/blob/master/input/pagecontent/changes.md",,,,,4.0.1,,,The US Core Implementation Guide defines the minimum set of FHIR RESTful interactions for each of the US Core Profiles to access patient data. The US Core Profiles are informed by the prior Data Access Framework and the [Argonaut DSTU2](http://www.fhir.org/guides/argonaut/r2/) Implementation Guides. The profiles here are stand alone and support the latest requirements from ONC [U.S. Core Data for Interoperability (USCDI)](https://www.healthit.gov/isa/us-core-data-interoperability-uscdi).,,,,http://hl7.org/fhir/us/core/2021Jan,STU4,,,
