"2022 04","2022-04-29T13:27:55","2022-04-29","STU Publication of CDA® R2 Implementation Guide: Consolidated CDA Templates for Clinical Notes; Advance Directives Templates, Release 1 STU 2 &#8211; US Realm","STU: CDA® R2 IG: Consolidated CDA Templates for Clinical Notes; Advance Directives Templates, Release 1 STU 2 - US Realm","CDA"
"2022 05","2022-05-04T18:43:39","2022-05-04","Informative Publication of HL7 EHRS-FM Release 2.1 &#8211; Pediatric Care Health IT Functional Profile Release 1 &#8211; US Realm","Informative: EHRS-FM Release 2.1 - Pediatric Care Health IT Functional Profile Release 1 - US Realm","OTHER"
"2022 05","2022-05-06T18:35:52","2022-05-06","STU Publication of HL7 FHIR® IG: SMART Web Messaging Implementation Guide, Release 1","STU: FHIR® IG: SMART Web Messaging IG, Release 1","FHIR"
"2022 05","2022-05-09T17:30:40","2022-05-09","STU Publication of HL7 FHIR® Implementation Guide: Clinical Genomics, STU 2","STU: FHIR® IG: Clinical Genomics, STU 2","FHIR"
"2022 05","2022-05-10T14:13:24","2022-05-10","STU Publication of HL7 Domain Analysis Model: Vital Records, Release 5- US Realm","STU: Domain Analysis Model: Vital Records, Release 5- US Realm","OTHER"
"2022 05","2022-05-12T20:50:52","2022-05-12","STU Publication of HL7 FHIR® Implementation Guide: Personal Health Device (PHD), Release 1","STU: FHIR® IG: Personal Health Device (PHD), Release 1","FHIR"
"2022 05","2022-05-13T13:53:21","2022-05-13","STU Publication of HL7 CDA® R2 IG: C-CDA Templates for Clinical Notes STU Companion Guide, Release 3 &#8211; US Realm","STU: CDA® R2 IG: C-CDA Templates for Clinical Notes STU Companion Guide, Release 3 - US Realm","CDA"
"2022 05","2022-05-13T18:27:42","2022-05-13","STU Publication of HL7 FHIR® US Core Implementation Guide STU5 Release 5.0.0","STU: FHIR® US Core IG STU5 Release 5.0.0","FHIR"
"2022 05","2022-05-27T19:26:59","2022-05-27","STU Update Publication of HL7 CDA® R2 Implementation Guide: National Health Care Surveys (NHCS), Release 1, STU Release 2.1 and STU Release 3.1 – US Realm","STU Update: CDA® R2 IG: National Health Care Surveys (NHCS), Release 1, STU Release 2.1 and STU Release 3.1 – US Realm","CDA"
"2022 06","2022-06-14T14:14:51","2022-06-14","Normative Publication of retired HL7 Version 3 Standard: Patient Administration; Patient Encounter, Release 1","Normative: retired Version 3 Standard: Patient Administration; Patient Encounter, Release 1","V3"
